service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
LRV12020-hlb10011-Weekday-01,1,1,1,1,1,0,0,20190101,20191231
LRV12020-hlb10016-Saturday-01,0,0,0,0,0,1,0,20190101,20191231
LRV12020-hlb10017-Sunday-01,0,0,0,0,0,0,1,20190101,20191231
LRV12020-hlm10011-Weekday-01,1,1,1,1,1,0,0,20190101,20191231
LRV12020-hlm10016-Saturday-01,0,0,0,0,0,1,0,20190101,20191231
LRV12020-hlm10017-Sunday-01,0,0,0,0,0,0,1,20190101,20191231
RTL12020-hmb10011-Weekday-01,1,1,1,1,1,0,0,20190101,20191231
RTL12020-hmb10016-Saturday-01,0,0,0,0,0,1,0,20190101,20191231
RTL12020-hmb10017-Sunday-01,0,0,0,0,0,0,1,20190101,20191231
RTL12020-hmo10011-Weekday-01,1,1,1,1,1,0,0,20190101,20191231
RTL12020-hmo10016-Saturday-01,0,0,0,0,0,1,0,20190101,20191231
RTL12020-hmo10017-Sunday-01,0,0,0,0,0,0,1,20190101,20191231
RTL12020-hms10011-Weekday-01,1,1,1,1,1,0,0,20190101,20191231
RTL12020-hms10016-Saturday-01,0,0,0,0,0,1,0,20190101,20191231
RTL12020-hms10017-Sunday-01,0,0,0,0,0,0,1,20190101,20191231
1-Saturday,0,0,0,0,0,1,0,20190101,20191231
2-Weekday,1,1,1,1,1,0,0,20190101,20191231
3-Sunday,0,0,0,0,0,0,1,20190101,20191231
Boat-F1-Weekday-Fall-21,1,1,1,1,1,0,0,20190101,20191231
Boat-F4-Saturday-Fall-21,0,0,0,0,0,1,0,20190101,20191231
Boat-F4-Sunday-Fall-21,0,0,0,0,0,0,1,20190101,20191231
Boat-F4-Weekday-Fall-21,1,1,1,1,1,0,0,20190101,20191231
SPRING2021-NORTHSAT-Saturday-6,0,0,0,0,0,1,0,20190101,20191231
SPRING2021-NORTHSUN-Sunday-6,0,0,0,0,0,0,1,20190101,20191231
SPRING2021-NORTHWKD-Weekday-1,1,1,1,1,1,0,0,20190101,20191231
SPRING2021-SOUTHSAT-Saturday-6,0,0,0,0,0,1,0,20190101,20191231
SPRING2021-SOUTHSUN-Sunday-6,0,0,0,0,0,0,1,20190101,20191231
SPRING2021-SOUTHWKD-Weekday-1,1,1,1,1,1,0,0,20190101,20191231
