route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,listed_route
Red,1,"",Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,FFFFFF,10010,Rapid Transit,line-Red,""
Mattapan,1,"",Mattapan Trolley,Rapid Transit,0,https://www.mbta.com/schedules/Mattapan,DA291C,FFFFFF,10011,Rapid Transit,line-Mattapan,""
Orange,1,"",Orange Line,Rapid Transit,1,https://www.mbta.com/schedules/Orange,ED8B00,FFFFFF,10020,Rapid Transit,line-Orange,""
Green-B,1,B,Green Line B,Rapid Transit,0,https://www.mbta.com/schedules/Green-B,00843D,FFFFFF,10032,Rapid Transit,line-Green,""
Green-C,1,C,Green Line C,Rapid Transit,0,https://www.mbta.com/schedules/Green-C,00843D,FFFFFF,10033,Rapid Transit,line-Green,""
Green-D,1,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,FFFFFF,10034,Rapid Transit,line-Green,""
Green-E,1,E,Green Line E,Rapid Transit,0,https://www.mbta.com/schedules/Green-E,00843D,FFFFFF,10035,Rapid Transit,line-Green,""
Blue,1,"",Blue Line,Rapid Transit,1,https://www.mbta.com/schedules/Blue,003DA5,FFFFFF,10040,Rapid Transit,line-Blue,""
047282d7,1,429,"Northgate Shopping Center - Central Square, Lynn",,3,,ac7e00,ffffff,,,,
04d85f91,1,47,"Central Square, Cambridge - Broadway Station",,3,,ac7e00,ffffff,,,,
075e24b9,1,93,Sullivan Square Station - Downtown via Bunker Hill Street,,3,,ac7e00,ffffff,,,,
07d95d4b,1,35,Dedham Mall or Stimson Street - Forest Hills Station,,3,,ac7e00,ffffff,,,,
0857eacd,1,106,Lebanon Loop - Wellington Station,,3,,ac7e00,ffffff,,,,
09f14e1d,1,430,Saugus Center - Malden Center Station,,3,,ac7e00,ffffff,,,,
0bf3a28e,1,716,Cobbs Corner - Mattapan Station,,3,,ac7e00,ffffff,,,,
0c9b9058,1,442,Marblehead - Wonderland Station via Humphrey Street,,3,,ac7e00,ffffff,,,,
