route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,listed_route
Red,1,"",Red Line,Rapid Transit,1,https://www.mbta.com/schedules/Red,DA291C,FFFFFF,10010,Rapid Transit,line-Red,""
Mattapan,1,"",Mattapan Trolley,Rapid Transit,0,https://www.mbta.com/schedules/Mattapan,DA291C,FFFFFF,10011,Rapid Transit,line-Mattapan,""
Orange,1,"",Orange Line,Rapid Transit,1,https://www.mbta.com/schedules/Orange,ED8B00,FFFFFF,10020,Rapid Transit,line-Orange,""
Green-B,1,B,Green Line B,Rapid Transit,0,https://www.mbta.com/schedules/Green-B,00843D,FFFFFF,10032,Rapid Transit,line-Green,""
Green-C,1,C,Green Line C,Rapid Transit,0,https://www.mbta.com/schedules/Green-C,00843D,FFFFFF,10033,Rapid Transit,line-Green,""
Green-D,1,D,Green Line D,Rapid Transit,0,https://www.mbta.com/schedules/Green-D,00843D,FFFFFF,10034,Rapid Transit,line-Green,""
Green-E,1,E,Green Line E,Rapid Transit,0,https://www.mbta.com/schedules/Green-E,00843D,FFFFFF,10035,Rapid Transit,line-Green,""
Blue,1,"",Blue Line,Rapid Transit,1,https://www.mbta.com/schedules/Blue,003DA5,FFFFFF,10040,Rapid Transit,line-Blue,""
07409ae3,1,116,- HF (Wonderland-Chelsea-Maverick),,3,,A92023,ffffff,,,,
07a14d42,1,211,- WF+ (Squantum-North Quincy-Quincy),,3,,005BAA,ffffff,,,,
08ebcf2e,1,237,- WF+ (South Shore Plaza-Quincy),,3,,C9500E,ffffff,,,,
09560119,1,059,modified - WF+ (Needham Junction-Newton Highlands-Watertown Square),,3,,007DBD,ffffff,,,,
0b2b768a,1,716,- YF (Cobbs Corner-Canton-Mattapan),,3,,613FA6,ffffff,,,,
0ce9b872,1,011,modified - WF+ (South Boston-Broadway),,3,,007DBD,ffffff,,,,
0f6e6fb6,1,064,modified - MF (Oak Square-Kendall/MIT),,3,,ac7e00,ffffff,,,,
0ff1dc4a,1,061,modified - WF (Waltham-Watertown),,3,,005BAA,ffffff,,,,
